"filename", "language", "C#", "comment", "blank", "total"
"c:\fish\fish\Assets\Scripts\CameraMovement.cs", "C#", 22, 18, 6, 46
"c:\fish\fish\Assets\Scripts\Fish.cs", "C#", 550, 16, 32, 598
"c:\fish\fish\Assets\Scripts\FishSpawner.cs", "C#", 55, 0, 2, 57
"c:\fish\fish\Assets\Scripts\Food.cs", "C#", 37, 2, 3, 42
"c:\fish\fish\Assets\Scripts\FoodSpawner.cs", "C#", 26, 11, 4, 41
"c:\fish\fish\Assets\Scripts\Predator.cs", "C#", 492, 15, 27, 534
"c:\fish\fish\Assets\Scripts\PredatorSpawner.cs", "C#", 51, 0, 2, 53
"c:\fish\fish\Assets\Scripts\SaveToCsv.cs", "C#", 94, 6, 11, 111
"c:\fish\fish\Assets\Scripts\StatScript.cs", "C#", 23, 0, 2, 25
"Total", "-", 1350, 68, 89, 1507
