Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator,Predator.FishCount, Predator.FishCountMale, Predator.FishCountFemale,Predator.meanViewRadius,Predator.meanImpulseTime,Predator.meanSoshakuJikan,Predator.meanMatingRestJikan,Predator.meanMatingAge,Predator.meanJumyo,Predator.meanPotentialBenefitOfMovement,Predator.meanMinimumEnergyToMate,Predator.meanMinimumLifeToEat,Predator.meanRelativeBenefitParameter,Predator.meanRelativeCostParameter
0,300,150,150,3.004185,9.809943,30.28696,7.934587,7.133828,28.42153,148.868,4.34562,24.2919,19.76683,0.04091484,0.03990878,3.015768,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
0.9960846,292,147,145,3.013917,9.775948,30.34319,7.947564,7.132081,28.17462,148.8011,4.313903,24.32048,19.87032,0.04108458,0.03999709,3.017955,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
1.997112,288,144,144,3.018224,9.744608,30.32763,7.938887,7.150572,28.27501,148.6865,4.313094,24.24041,19.88246,0.04138409,0.04003984,3.001456,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
3.017819,286,142,144,3.01651,9.705092,30.31496,7.920108,7.164494,28.30809,149.0024,4.317168,24.2508,19.88033,0.0413949,0.03990778,3.011366,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
4.035229,282,141,141,3.010292,9.670422,30.34902,7.880451,7.150857,28.37915,148.9063,4.341065,24.23043,19.71274,0.04106576,0.04013054,3.018415,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
5.047615,281,141,140,3.013314,9.682291,30.30651,7.879979,7.169659,28.33229,148.8039,4.351722,24.14785,19.68921,0.04115373,0.03998399,3.02521,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
6.067318,277,140,137,3.010734,9.677498,30.36263,7.92374,7.136929,28.30346,149.0515,4.374792,23.96884,19.74381,0.04118264,0.03989213,3.025503,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
7.061081,271,137,134,3.013838,9.738445,30.36819,7.893627,7.07397,28.36684,148.9516,4.376137,24.10906,19.50245,0.04118184,0.04004322,3.024592,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
8.071768,267,136,131,3.010292,9.739422,30.33225,7.927961,7.096916,28.3583,149.0834,4.372989,24.11212,19.39295,0.04114435,0.03961022,3.017751,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
9.069203,260,135,125,3.01616,9.759659,30.34785,7.960416,7.117028,28.47963,149.1357,4.40741,24.27659,19.54667,0.04118678,0.03974027,3.016215,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
10.07779,254,133,121,3.015553,9.724371,30.14211,7.999228,7.15835,28.55544,148.9821,4.399032,24.34439,19.49767,0.04112731,0.03920518,3.024004,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
11.11707,244,129,115,3.027962,9.846321,30.26576,7.986503,7.196527,28.50134,149.4527,4.435569,24.00246,19.3923,0.04073279,0.03892799,3.008033,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
12.12236,234,122,112,3.031187,9.880356,30.24024,8.029979,7.152403,28.51488,149.1392,4.44961,23.83711,19.30301,0.04053434,0.03886151,3.000906,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
13.13174,228,119,109,3.025785,9.877743,30.25389,8.014839,7.175865,28.32531,149.0928,4.463464,24.02874,19.30754,0.0406278,0.0384387,2.988923,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
14.12645,216,113,103,3.017385,9.80275,30.24532,8.030202,7.197152,28.49108,148.9188,4.422151,23.95673,19.0403,0.04083089,0.0385746,2.94096,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
15.1512,208,109,99,3.018773,9.879606,30.31359,8.065624,7.254388,28.54562,149.051,4.456566,24.01623,18.70002,0.04056069,0.03900833,2.914813,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
16.18003,196,100,96,3.027528,10.04989,30.3101,8.139057,7.252162,28.80959,149.6703,4.446956,24.25321,18.7471,0.04073825,0.03899387,2.875819,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
17.21031,189,98,91,3.021111,10.09568,30.2986,8.094254,7.283216,28.81396,150.0047,4.405773,24.41443,18.58023,0.04038134,0.03850762,2.856188,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
18.22712,175,90,85,3.02909,10.08106,30.28468,8.093167,7.133328,28.93318,150.0554,4.442432,24.82743,18.4241,0.04038397,0.03751325,2.811654,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
19.24981,160,79,81,3.025208,10.1078,30.96541,8.241064,7.206313,28.91049,149.9039,4.465278,24.5622,18.04098,0.04178378,0.03776194,2.755053,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
20.2724,149,73,76,3.022296,10.05538,31.21203,8.318201,7.224143,29.23054,149.8136,4.459192,24.5677,18.11129,0.04302198,0.03816462,2.716665,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
21.2914,140,67,73,2.99941,9.994189,31.6101,8.354054,7.251719,29.13095,150.0211,4.469491,24.98183,18.39031,0.0432193,0.03842067,2.677465,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
22.26978,127,58,69,3.008214,10.06742,32.38161,8.404452,7.185965,28.95553,151.2287,4.431375,24.42125,18.44204,0.04388257,0.03750936,2.610892,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
23.28184,118,55,63,3.031535,10.06207,33.042,8.335745,7.172052,28.67899,150.8871,4.471639,24.38897,17.9704,0.04482098,0.03786124,2.631797,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
24.29025,112,52,60,3.05293,9.985115,33.31807,8.333824,7.204449,28.80487,151.8607,4.515351,24.56233,18.07131,0.04514167,0.03834158,2.614463,40,20,20,3.005989,8.63767,5.913974,7.05381,31.10242,196.5948,4.070657,26.2909,19.09313,0.0464197,0.03000149
25.29797,108,50,58,3.055611,9.989786,33.5765,8.438794,7.211874,28.79907,151.4312,4.543192,24.53438,17.80507,0.04590512,0.03861565,2.61288,39,20,19,3.017507,8.757381,5.831471,7.197508,30.70248,195.8124,3.975721,26.60455,19.25897,0.04699888,0.02910758
26.3043,103,46,57,3.064886,9.826355,33.84987,8.36782,7.25361,28.57685,151.0197,4.524252,23.90534,18.03571,0.0471177,0.03938506,2.612899,38,19,19,3.039836,8.938953,5.735079,7.05369,30.74071,195.0044,3.965874,26.1904,19.45538,0.04575905,0.02877168
27.30756,98,44,54,3.071051,9.738696,34.18326,8.320713,7.189866,28.51424,150.7142,4.517554,24.23506,17.70543,0.0484683,0.03958957,2.594943,33,17,16,3.049774,8.673713,5.796354,6.881958,30.3572,195.9433,3.854562,27.00082,19.93231,0.04475937,0.02792237
28.31179,95,44,51,3.080837,9.649868,34.08926,8.310308,7.108863,28.34578,151.0871,4.458925,24.39829,17.95194,0.04758318,0.0400692,2.589197,30,15,15,3.053967,8.32831,5.957969,7.02946,30.32886,195.7122,3.652452,26.14936,19.57035,0.04415122,0.02783792
29.33264,90,40,50,3.069462,9.475888,34.14421,8.425863,7.076862,28.21483,151.1333,4.486353,24.2333,17.57155,0.04803953,0.0409301,2.534748,29,14,15,3.086423,8.22837,6.116432,7.235571,29.72353,194.9097,3.606508,27.00455,18.99003,0.04309015,0.02790477
30.33482,88,40,48,3.070677,9.422878,34.45829,8.469995,7.084304,28.11146,151.2967,4.459142,24.54522,17.95498,0.04883399,0.04054785,2.557027,28,14,14,3.081455,8.085613,5.996923,7.412649,29.55184,193.5526,3.6423,27.12875,18.76188,0.04211543,0.02850042
31.33661,84,37,47,3.070481,9.416365,34.93844,8.527899,7.118342,27.61043,151.9382,4.555844,24.70275,17.57475,0.04902847,0.04084943,2.560354,28,14,14,3.081455,8.085613,5.996923,7.412649,29.55184,193.5526,3.6423,27.12875,18.76188,0.04211543,0.02850042
