Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator,Predator.FishCount, Predator.FishCountMale, Predator.FishCountFemale,Predator.meanViewRadius,Predator.meanImpulseTime,Predator.meanSoshakuJikan,Predator.meanMatingRestJikan,Predator.meanMatingAge,Predator.meanJumyo,Predator.meanPotentialBenefitOfMovement,Predator.meanMinimumEnergyToMate,Predator.meanMinimumLifeToEat,Predator.meanRelativeBenefitParameter,Predator.meanRelativeCostParameter
0,500,250,250,3.02225,10.08446,29.19291,8.02162,7.513339,31.10786,149.6639,4.532911,25.13491,19.69405,0.03876233,0.0411456,2.967733,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
0.9922495,491,245,246,3.023901,10.06468,29.21601,8.024513,7.506214,31.20562,149.4255,4.5514,25.15825,19.75052,0.03872166,0.0410062,2.95924,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
1.99608,480,237,243,3.028059,10.0251,29.28447,7.984472,7.523245,31.42465,149.7701,4.560739,25.0817,19.61425,0.03862052,0.04124262,2.947966,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
3.01949,473,233,240,3.029831,10.02005,29.35143,7.966235,7.496868,31.32057,149.7269,4.566855,25.23051,19.6984,0.0386392,0.041394,2.94292,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
4.027848,466,229,237,3.030378,9.989335,29.44127,7.955677,7.493303,31.24031,150.1539,4.57342,25.25308,19.70193,0.03825756,0.04128475,2.936171,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
5.036941,463,228,235,3.0328,9.968218,29.339,7.957468,7.477767,31.21424,150.0722,4.575007,25.21173,19.64608,0.0383092,0.04138436,2.934255,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
6.060766,454,223,231,3.034288,9.968294,29.31116,7.978619,7.521222,31.02757,149.9202,4.596466,25.18642,19.69147,0.03842155,0.04139125,2.93038,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
7.059275,451,221,230,3.031826,9.996279,29.39365,7.986092,7.51885,31.06232,149.8533,4.606144,25.14693,19.75203,0.03851708,0.04123951,2.932331,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
8.092048,449,220,229,3.028732,9.996634,29.37182,7.977286,7.539216,31.0489,149.6775,4.596978,25.16964,19.81028,0.03845568,0.04124882,2.932682,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
9.098001,442,217,225,3.029872,10.00366,29.45868,7.996169,7.55174,31.06224,149.6492,4.607696,25.23848,19.91197,0.03832031,0.04132482,2.92947,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
10.12335,438,216,222,3.027339,10.02002,29.43687,7.985587,7.558022,31.04496,149.7767,4.603768,25.20961,19.91046,0.0383053,0.04147206,2.938094,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
11.12793,426,209,217,3.023094,9.960292,29.51831,8.007709,7.539205,31.12706,150.1446,4.629313,25.29524,19.83724,0.0384189,0.04145845,2.927284,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
12.14676,420,207,213,3.026252,9.962791,29.59616,8.006268,7.553366,31.13327,150.0365,4.631883,25.34883,19.93881,0.03843097,0.04128288,2.925889,40,20,20,2.769437,7.037217,5.71258,7.944601,28.18568,201.1808,4.589012,26.71189,22.46048,0.04434702,0.03385518
