Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9850842,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
1.987324,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
2.988751,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
3.989205,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
4.9924,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
5.995366,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
6.996105,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
7.996387,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
8.996977,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
9.997729,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
10.99776,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
11.99925,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
13.00135,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
14.00358,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
15.00512,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
16.00764,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
17.0096,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
18.01342,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
19.01431,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
20.01479,12,6,6,2.692961,6.849965,31.93796,10.1568,11.04416,30.32962,158.7616,4.199282,17.33419,26.49696,0.04074277,0.05191674
