Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9827815,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
1.984336,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
2.986761,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
3.986777,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
4.988623,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
5.990107,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
6.990343,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
7.990439,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
8.993332,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
9.991924,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
10.99323,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
11.99447,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
12.99487,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
14.00355,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
15.00498,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
16.00553,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
17.00831,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
18.00927,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
19.00995,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
20.01066,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
21.01072,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
22.01188,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
23.01367,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
24.01437,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
25.01528,30,15,15,3.074951,7.399828,30.17657,7.218494,8.794124,27.78306,144.1158,3.943543,22.268,27.41703,0.04232244,0.03572406
26.01754,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
27.01664,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
28.01674,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
29.01821,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
30.01985,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
31.01981,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
32.02091,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
33.02209,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
34.02887,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
35.0278,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
36.0281,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
37.02852,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
38.03229,31,15,16,3.056392,7.425809,30.34959,7.347269,8.711314,27.43736,143.3304,4.016186,22.76439,27.90727,0.04213312,0.03685034
39.03214,33,15,18,3.046214,7.190168,31.0574,7.514281,8.85216,26.90389,146.2027,4.081544,22.76958,27.00548,0.04370272,0.03536035
40.03291,32,15,17,3.043168,7.045401,31.30333,7.619728,9.002782,26.59323,145.9102,4.009647,22.81076,27.53005,0.04444885,0.03514449
41.08443,32,15,17,3.043168,7.045401,31.30333,7.619728,9.002782,26.59323,145.9102,4.009647,22.81076,27.53005,0.04444885,0.03514449
42.07312,31,15,16,3.023413,6.960438,31.85844,7.753868,8.812827,26.14369,146.5577,3.961952,23.18366,27.67581,0.04391367,0.03576935
43.07773,31,15,16,3.023413,6.960438,31.85844,7.753868,8.812827,26.14369,146.5577,3.961952,23.18366,27.67581,0.04391367,0.03576935
44.07721,31,15,16,3.023413,6.960438,31.85844,7.753868,8.812827,26.14369,146.5577,3.961952,23.18366,27.67581,0.04391367,0.03576935
45.09502,31,15,16,3.023413,6.960438,31.85844,7.753868,8.812827,26.14369,146.5577,3.961952,23.18366,27.67581,0.04391367,0.03576935
46.10946,32,16,16,3.021066,6.856779,32.30037,7.654182,8.71776,26.58103,146.9902,3.980339,23.52495,28.20915,0.04449991,0.03504805
47.10988,32,16,16,3.021066,6.856779,32.30037,7.654182,8.71776,26.58103,146.9902,3.980339,23.52495,28.20915,0.04449991,0.03504805
48.13985,32,16,16,3.021066,6.856779,32.30037,7.654182,8.71776,26.58103,146.9902,3.980339,23.52495,28.20915,0.04449991,0.03504805
49.13544,32,16,16,3.021066,6.856779,32.30037,7.654182,8.71776,26.58103,146.9902,3.980339,23.52495,28.20915,0.04449991,0.03504805
50.16901,32,16,16,3.021066,6.856779,32.30037,7.654182,8.71776,26.58103,146.9902,3.980339,23.52495,28.20915,0.04449991,0.03504805
51.1563,33,17,16,3.029013,6.974357,32.45903,7.451884,8.569825,26.41541,148.3256,4.006668,23.94786,28.78956,0.04595097,0.03434765
52.15435,33,17,16,3.029013,6.974357,32.45903,7.451884,8.569825,26.41541,148.3256,4.006668,23.94786,28.78956,0.04595097,0.03434765
53.16079,33,17,16,3.029013,6.974357,32.45903,7.451884,8.569825,26.41541,148.3256,4.006668,23.94786,28.78956,0.04595097,0.03434765
54.15805,33,17,16,3.029013,6.974357,32.45903,7.451884,8.569825,26.41541,148.3256,4.006668,23.94786,28.78956,0.04595097,0.03434765
55.18825,33,17,16,3.029013,6.974357,32.45903,7.451884,8.569825,26.41541,148.3256,4.006668,23.94786,28.78956,0.04595097,0.03434765
56.17602,33,17,16,3.029013,6.974357,32.45903,7.451884,8.569825,26.41541,148.3256,4.006668,23.94786,28.78956,0.04595097,0.03434765
57.18821,34,17,17,3.029869,7.00923,32.48466,7.354385,8.665659,26.3294,147.4572,4.043852,23.94509,29.31968,0.04637628,0.03377404
58.20407,34,17,17,3.029869,7.00923,32.48466,7.354385,8.665659,26.3294,147.4572,4.043852,23.94509,29.31968,0.04637628,0.03377404
59.20639,34,17,17,3.029869,7.00923,32.48466,7.354385,8.665659,26.3294,147.4572,4.043852,23.94509,29.31968,0.04637628,0.03377404
60.22927,34,17,17,3.029869,7.00923,32.48466,7.354385,8.665659,26.3294,147.4572,4.043852,23.94509,29.31968,0.04637628,0.03377404
61.20939,35,17,18,3.047494,7.101827,32.13025,7.241051,8.700688,26.40568,146.1022,3.983022,24.31339,29.74067,0.04626844,0.03388396
62.22661,33,16,17,3.028537,6.981838,32.31745,7.141075,8.669381,25.80444,146.6922,3.933402,24.80465,30.11867,0.0478193,0.03213148
63.25244,33,16,17,3.028537,6.981838,32.31745,7.141075,8.669381,25.80444,146.6922,3.933402,24.80465,30.11867,0.0478193,0.03213148
64.2339,33,16,17,3.028537,6.981838,32.31745,7.141075,8.669381,25.80444,146.6922,3.933402,24.80465,30.11867,0.0478193,0.03213148
65.25159,33,16,17,3.028537,6.981838,32.31745,7.141075,8.669381,25.80444,146.6922,3.933402,24.80465,30.11867,0.0478193,0.03213148
66.27052,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
67.25053,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
68.26573,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
69.25005,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
70.25114,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
71.27537,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
72.26865,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
73.297,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
74.28409,34,17,17,3.028559,6.805515,31.8201,7.035777,8.817996,25.45781,147.0612,3.851187,24.90898,29.70254,0.04742299,0.03325181
75.28945,35,17,18,3.034511,6.697166,31.43877,7.180851,8.719632,25.04827,147.1104,3.850798,24.84052,29.86266,0.04777016,0.03279363
76.31037,35,17,18,3.034511,6.697166,31.43877,7.180851,8.719632,25.04827,147.1104,3.850798,24.84052,29.86266,0.04777016,0.03279363
77.29449,34,16,18,3.027142,6.690777,31.82468,7.305677,8.758752,24.7783,147.753,3.920743,25.14368,29.62179,0.04864873,0.03285093
78.3168,34,16,18,3.027142,6.690777,31.82468,7.305677,8.758752,24.7783,147.753,3.920743,25.14368,29.62179,0.04864873,0.03285093
79.32387,34,16,18,3.027142,6.690777,31.82468,7.305677,8.758752,24.7783,147.753,3.920743,25.14368,29.62179,0.04864873,0.03285093
80.32714,34,16,18,3.027142,6.690777,31.82468,7.305677,8.758752,24.7783,147.753,3.920743,25.14368,29.62179,0.04864873,0.03285093
81.34457,35,17,18,3.039378,6.727095,32.27456,7.312589,8.90786,24.77307,149.4399,3.856676,25.10557,28.95503,0.05016417,0.03297695
82.36,35,17,18,3.039378,6.727095,32.27456,7.312589,8.90786,24.77307,149.4399,3.856676,25.10557,28.95503,0.05016417,0.03297695
83.36136,35,17,18,3.039378,6.727095,32.27456,7.312589,8.90786,24.77307,149.4399,3.856676,25.10557,28.95503,0.05016417,0.03297695
84.38913,35,17,18,3.039378,6.727095,32.27456,7.312589,8.90786,24.77307,149.4399,3.856676,25.10557,28.95503,0.05016417,0.03297695
85.36732,35,17,18,3.039378,6.727095,32.27456,7.312589,8.90786,24.77307,149.4399,3.856676,25.10557,28.95503,0.05016417,0.03297695
86.36736,36,18,18,3.04495,6.64734,32.4299,7.141431,8.793039,24.34282,150.2216,3.781453,25.46391,29.4916,0.05121829,0.0323925
87.37148,36,18,18,3.04495,6.64734,32.4299,7.141431,8.793039,24.34282,150.2216,3.781453,25.46391,29.4916,0.05121829,0.0323925
88.41673,37,19,18,3.03112,6.538306,32.47524,7.280209,8.724116,23.88257,149.3904,3.75292,25.48868,29.24845,0.05146096,0.03185152
89.41473,37,19,18,3.03112,6.538306,32.47524,7.280209,8.724116,23.88257,149.3904,3.75292,25.48868,29.24845,0.05146096,0.03185152
90.44205,37,19,18,3.03112,6.538306,32.47524,7.280209,8.724116,23.88257,149.3904,3.75292,25.48868,29.24845,0.05146096,0.03185152
91.42953,38,20,18,3.03371,6.440049,32.07249,7.244292,8.775792,24.31626,149.309,3.760346,24.85415,29.60929,0.05125679,0.03204808
92.4649,38,20,18,3.03371,6.440049,32.07249,7.244292,8.775792,24.31626,149.309,3.760346,24.85415,29.60929,0.05125679,0.03204808
93.47199,38,20,18,3.03371,6.440049,32.07249,7.244292,8.775792,24.31626,149.309,3.760346,24.85415,29.60929,0.05125679,0.03204808
94.45347,38,20,18,3.03371,6.440049,32.07249,7.244292,8.775792,24.31626,149.309,3.760346,24.85415,29.60929,0.05125679,0.03204808
95.47546,40,22,18,3.03552,6.552152,31.8509,7.168072,8.442453,23.98223,148.7377,3.677161,24.88584,29.61478,0.05090418,0.0310819
96.46561,40,22,18,3.03552,6.552152,31.8509,7.168072,8.442453,23.98223,148.7377,3.677161,24.88584,29.61478,0.05090418,0.0310819
97.50994,41,22,19,3.038771,6.44727,31.90322,7.10828,8.549744,24.23269,148.9328,3.776753,24.54019,29.94241,0.0513038,0.03064905
98.50681,42,22,20,3.045093,6.38823,31.96376,6.956166,8.417383,24.10316,148.7021,3.810979,24.54154,30.38986,0.05143563,0.0304492
99.49637,42,22,20,3.045093,6.38823,31.96376,6.956166,8.417383,24.10316,148.7021,3.810979,24.54154,30.38986,0.05143563,0.0304492
100.5183,42,22,20,3.045093,6.38823,31.96376,6.956166,8.417383,24.10316,148.7021,3.810979,24.54154,30.38986,0.05143563,0.0304492
101.5186,41,21,20,3.035691,6.304201,31.68298,7.012891,8.378548,23.95292,149.8564,3.726311,24.59266,30.10089,0.05065498,0.03035632
102.5188,39,19,20,3.060052,6.208179,30.99114,7.006025,8.093054,23.56198,152.3047,3.689329,25.05,30.66374,0.05073009,0.02855086
103.5206,40,19,21,3.051424,6.090456,31.09711,7.108038,7.934739,23.47292,153.2937,3.671266,24.669,30.22144,0.04992781,0.02817694
104.5287,41,20,21,3.037578,6.121212,31.50231,7.058805,7.871537,23.93241,153.5426,3.701689,24.87097,30.49188,0.0490458,0.0278537
105.5303,42,21,21,3.036758,6.05299,31.2483,7.062637,7.737681,23.57133,153.8002,3.644098,25.1713,30.92715,0.04974471,0.02749776
106.531,41,20,21,3.045524,6.166686,31.55345,6.885427,7.86676,23.56206,154.9767,3.691129,25.4938,31.32232,0.05054772,0.02783771
107.5376,41,20,21,3.045524,6.166686,31.55345,6.885427,7.86676,23.56206,154.9767,3.691129,25.4938,31.32232,0.05054772,0.02783771
108.5583,41,20,21,3.045524,6.166686,31.55345,6.885427,7.86676,23.56206,154.9767,3.691129,25.4938,31.32232,0.05054772,0.02783771
109.5708,41,20,21,3.045524,6.166686,31.55345,6.885427,7.86676,23.56206,154.9767,3.691129,25.4938,31.32232,0.05054772,0.02783771
110.5694,41,20,21,3.045524,6.166686,31.55345,6.885427,7.86676,23.56206,154.9767,3.691129,25.4938,31.32232,0.05054772,0.02783771
