Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter
0,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
0.9857562,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
1.985555,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
2.989069,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
3.991125,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
4.991677,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
5.994189,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
6.997038,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
7.999516,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
9.006261,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
10.01233,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
11.01524,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
12.01747,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
13.01842,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
14.0192,200,100,100,2.986744,8.016337,30.33728,8.291381,7.524302,29.95875,150.2884,4.477376,23.81098,19.9336,0.03858334,0.04042224
15.02348,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
16.03373,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
17.03604,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
18.04128,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
19.0472,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
20.0602,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
21.0623,199,99,100,2.983089,8.028019,30.43163,8.271868,7.522324,29.86817,150.0748,4.46904,23.89771,20.03015,0.0385281,0.04051362
22.064,200,100,100,2.9855,8.042894,30.46001,8.235708,7.508404,29.78566,150.1775,4.473885,23.81779,19.94106,0.03847521,0.04068664
23.06891,200,100,100,2.9855,8.042894,30.46001,8.235708,7.508404,29.78566,150.1775,4.473885,23.81779,19.94106,0.03847521,0.04068664
24.09035,200,100,100,2.9855,8.042894,30.46001,8.235708,7.508404,29.78566,150.1775,4.473885,23.81779,19.94106,0.03847521,0.04068664
25.10554,200,100,100,2.9855,8.042894,30.46001,8.235708,7.508404,29.78566,150.1775,4.473885,23.81779,19.94106,0.03847521,0.04068664
26.11204,200,100,100,2.9855,8.042894,30.46001,8.235708,7.508404,29.78566,150.1775,4.473885,23.81779,19.94106,0.03847521,0.04068664
