Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter
469.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470.1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471.2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472.2283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473.2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474.5084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477.5831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479.5956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480.6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481.732,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
482.8389,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
483.911,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
484.9869,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
486.1325,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
487.1695,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
488.2258,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
489.2618,-1,0,-1,1.715037,10.37266,11.37268,3.419388,4.355249,23.32608,174.166,5.65039,4.071447,20.05138,0.05637463,0.01720546
490.3107,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
491.368,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
492.4429,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
493.5044,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
494.5595,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
495.6139,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
496.6717,-2,-1,-1,2.73661,5.759573,20.94771,7.940991,5.326028,26.99909,178.6122,3.830415,7.344294,24.71393,0.05329128,0.02621962
497.6927,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
498.7115,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
499.7379,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
500.7734,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
501.8195,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
502.8503,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
503.8603,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
504.8816,-3,-2,-1,2.849008,4.02165,27.42478,9.554154,5.277404,25.24189,178.4432,3.155422,7.67125,24.63976,0.04644332,0.03127015
505.9044,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
506.9329,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
507.9501,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
508.9661,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
509.9897,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
511.0281,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
512.061,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
513.1127,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
514.1448,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
515.1592,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
516.1747,-4,-3,-1,2.895863,3.974094,23.7037,10.66594,5.048951,25.30574,178.1322,3.679226,13.43661,23.53454,0.0497808,0.02747419
517.2385,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
518.2346,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
519.3276,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
520.4362,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
521.4376,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
522.5443,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
523.6418,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
524.6501,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
525.7576,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
526.7712,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
527.7746,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
528.8378,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
529.8583,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
530.8998,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
531.9755,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
533.0502,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
534.0703,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
535.0941,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
536.167,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
537.2191,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
538.2469,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
539.2848,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
540.3513,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
541.3907,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
542.4451,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
543.7551,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
544.8188,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
546.0824,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
546.9347,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
548.0049,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
549.0786,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
550.1037,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
551.142,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
552.2078,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
553.2725,-5,-3,-2,2.707676,3.967993,21.80084,11.18379,5.708549,26.63455,168.054,4.19228,11.87055,19.63142,0.05420198,0.02412471
