Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator
0,300,150,150,2.957254,9.912975,30.38046,7.970519,7.397799,29.65991,151.9242,4.57646,23.56085,19.51601,0.03868897,0.03955301,2.935254
0.9905245,287,142,145,2.949477,9.918276,30.29343,7.949055,7.41735,29.87298,151.8659,4.596952,23.60158,19.33709,0.03890445,0.0395164,2.952518
1.995285,277,133,144,2.954837,10.0156,30.11764,7.963382,7.427844,29.64533,151.7682,4.597048,23.74765,19.36934,0.03881886,0.03945081,2.953438
2.997727,272,132,140,2.950518,10.0584,30.23769,7.928758,7.46954,29.68184,151.6897,4.599251,23.73632,19.26314,0.0385979,0.03965252,2.949553
4.006163,263,129,134,2.945286,10.00463,30.20666,7.957501,7.518465,29.69511,151.9402,4.610749,23.79922,19.31443,0.03859883,0.03991847,2.93712
5.014422,256,125,131,2.946773,10.06814,29.9728,7.935111,7.486698,29.63541,152.2039,4.584505,23.65724,19.1872,0.03858211,0.04038349,2.952773
6.017852,243,118,125,2.9515,10.08965,29.75847,7.971053,7.602051,29.7854,152.2846,4.584707,23.67185,19.08939,0.03854812,0.04031445,2.975562
7.021011,232,113,119,2.94019,10.04806,29.76391,7.973445,7.551386,29.94003,152.2319,4.522833,24.14217,19.14301,0.03832591,0.04041239,2.980958
8.029461,227,111,116,2.939419,10.04833,29.8256,7.98597,7.575999,29.81406,152.126,4.50703,23.9519,19.03222,0.03827947,0.04037235,2.977803
9.040664,218,107,111,2.937515,10.01791,29.78594,7.9563,7.661235,30.11964,152.0501,4.49951,24.29321,18.93622,0.03782529,0.04058707,2.977967
10.05184,212,105,107,2.943393,9.994887,29.86074,7.90914,7.600078,30.15111,151.4023,4.518865,24.35334,18.79948,0.03791558,0.04078692,3.005039
