Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator,Predator.FishCount, Predator.FishCountMale, Predator.FishCountFemale,Predator.meanViewRadius,Predator.meanImpulseTime,Predator.meanSoshakuJikan,Predator.meanMatingRestJikan,Predator.meanMatingAge,Predator.meanJumyo,Predator.meanPotentialBenefitOfMovement,Predator.meanMinimumEnergyToMate,Predator.meanMinimumLifeToEat,Predator.meanRelativeBenefitParameter,Predator.meanRelativeCostParameter
0,900,450,450,3.019829,10.02818,29.22568,7.866196,7.65401,30.16875,148.7042,4.454706,49.36463,20.2267,0.04041297,0.03920896,2.992852,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
1.003348,861,428,433,3.023676,10.02326,29.11119,7.851595,7.649181,30.3288,148.7607,4.449405,48.90834,20.24888,0.04036317,0.03932086,2.992097,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
2.054831,849,423,426,3.020694,10.01076,29.11445,7.865385,7.642166,30.39064,148.6307,4.43154,48.74333,20.22379,0.04022262,0.03917148,2.993384,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
3.075818,834,415,419,3.017648,10.00145,29.14389,7.862258,7.625733,30.37996,148.4798,4.432185,48.63701,20.09462,0.04025996,0.03914966,3.004177,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
4.157159,823,408,415,3.017363,9.984798,29.13488,7.857197,7.629618,30.40154,148.3938,4.430144,48.66202,20.06623,0.04027962,0.03928564,3.011843,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
5.145133,813,403,410,3.011958,9.950768,29.17226,7.855905,7.625985,30.41935,148.4604,4.425921,48.5747,19.98343,0.04012277,0.03923487,3.009731,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
6.174434,803,399,404,3.010839,9.939258,29.14127,7.861587,7.610803,30.39734,148.5444,4.433437,48.53505,20.01433,0.04025409,0.03921102,3.009703,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
7.215978,798,396,402,3.007802,9.93555,29.08529,7.859906,7.60781,30.35013,148.5154,4.434807,48.49502,20.08754,0.04020929,0.03930327,3.015284,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
8.259163,790,390,400,3.009188,9.94167,29.05455,7.847113,7.609076,30.29629,148.6898,4.439171,48.51786,20.08404,0.04031385,0.03945607,3.020798,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
9.276101,780,385,395,3.007739,9.95317,28.97118,7.842955,7.607403,30.33165,148.7776,4.430539,48.65603,20.02821,0.04029857,0.03933743,3.018892,40,20,20,2.877241,4.883209,5.171683,8.453694,30.54156,199.8563,7.027139,26.44089,21.49012,0.04333044,0.03845166
