Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator,Predator.FishCount, Predator.FishCountMale, Predator.FishCountFemale,Predator.meanViewRadius,Predator.meanImpulseTime,Predator.meanSoshakuJikan,Predator.meanMatingRestJikan,Predator.meanMatingAge,Predator.meanJumyo,Predator.meanPotentialBenefitOfMovement,Predator.meanMinimumEnergyToMate,Predator.meanMinimumLifeToEat,Predator.meanRelativeBenefitParameter,Predator.meanRelativeCostParameter
0,1000,500,500,3.000176,2.946667,30.1671,7.762636,7.461843,29.56718,149.7614,4.375383,50.03421,20.87756,0.03899974,0.0381498,3.030081,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
0.9949093,979,490,489,2.996797,2.942219,30.13903,7.771356,7.468017,29.52021,149.818,4.373049,50.06993,21.01665,0.03902059,0.03811976,3.024016,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
1.996673,971,486,485,2.997647,2.944021,30.13729,7.775985,7.455741,29.49413,149.8829,4.381922,50.08125,21.04626,0.03901564,0.03817713,3.023841,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
2.999729,967,484,483,2.996254,2.942195,30.17476,7.783629,7.455409,29.52165,149.9269,4.381337,50.05293,21.05645,0.03891286,0.0381513,3.026019,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
4.000757,965,483,482,2.995883,2.941789,30.15735,7.781124,7.451168,29.53573,149.9336,4.37524,50.0415,21.02631,0.038875,0.03816066,3.026167,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
5.002143,961,481,480,2.995798,2.942747,30.2162,7.791414,7.460515,29.50474,149.9745,4.380623,50.02859,21.07661,0.03892914,0.03800958,3.031653,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
6.015176,960,481,479,2.996015,2.941042,30.20091,7.798103,7.460265,29.5156,149.9901,4.382151,50.04965,21.07244,0.03895257,0.03802657,3.030526,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
7.016654,960,481,479,2.996015,2.941042,30.20091,7.798103,7.460265,29.5156,149.9901,4.382151,50.04965,21.07244,0.03895257,0.03802657,3.030526,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
8.016622,959,481,478,2.996922,2.939984,30.19512,7.793289,7.4601,29.53528,149.975,4.378952,50.09728,21.07661,0.03896883,0.0380218,3.029501,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
9.018048,958,480,478,2.9967,2.940856,30.18278,7.791927,7.465196,29.5374,149.9461,4.379895,50.05756,21.09143,0.03899403,0.03803875,3.031601,20,10,10,2.86257,3.136477,4.313315,7.074906,27.71373,186.3574,7.984282,26.34638,25.20329,0.03371592,0.03852431
